c,alpha,beta,E0_meV,E1_meV,E2_meV,E3_meV,split01_meV,gap02_meV,d2_A2,d_rms_A,hw_eff_meV,mass
6.35,-0.37829274927415796,0.5968251114591477,-45.369403778724035,-45.363255716347986,-18.965245419174217,-18.502681684207122,0.006148062376046259,26.404158359549818,0.29529317269813693,0.5434088448839759,1.019745071083935,Li
6.45,-0.42023439540955937,0.5074061447797716,-71.48610763319591,-71.48596303361289,-42.190896162959596,-42.172709541778225,0.00014459958302959208,29.295211470236325,0.3941666825055697,0.627826952675313,0.763950305159055,Li
6.528,-0.49763899146099394,0.4831283591767142,-111.13920775574547,-111.13920667640213,-78.45007847784831,-78.44987481594988,1.0793433508071715e-06,32.68912927789716,0.49697158619596477,0.7049621168516538,0.6059174523207528,Li
6.605,-0.5589289865778463,0.45335070997361326,-154.17902505640635,-154.179025049916,-119.06431132673322,-119.06430968115659,6.490363801958665e-09,35.114713729673134,0.5995563305803169,0.7743102289007403,0.5022443130442831,Li
6.683,-0.6085759049354806,0.42299221670716486,-199.96615772710234,-199.96615772706718,-163.01113659915137,-163.0111365888213,3.5138558729386205e-11,36.95502112795096,0.7032745308893515,0.8386146498179909,0.428173841306133,Li
6.761,-0.5976241194002001,0.36031314819919524,-229.02291439216788,-229.02291439216788,-192.22798772113552,-192.22798772096138,0.0,36.79492667103234,0.8131186873882246,0.9017309395757831,0.3703318618231318,Li
6.839,-0.6322158430445267,0.33333503323578056,-280.42040448364105,-280.42040448364105,-242.39071049184895,-242.39071049184895,0.0,38.029693991792065,0.9326239164329028,0.9657245551568536,0.3228780133962247,Li
6.917,-0.6605763496955981,0.3080744778750463,-334.30096692895677,-334.30096692895677,-295.28534227046447,-295.28534227046447,0.0,39.015624658492285,1.056786757267702,1.0280013410826379,0.2849427808522231,Li
6.994,-0.6620212240006633,0.28318307550374255,-367.0794416513634,-367.0794416513634,-327.9451868669427,-327.9451868669427,0.0,39.134254784420676,1.1536104292913945,1.0740625816456852,0.2610272495270589,Li
7.072,-0.6743520786694033,0.25699779029388514,-422.3323376095325,-422.3323376095325,-382.73776988832856,-382.73776988832856,0.0,39.5945677212039,1.2968627346598436,1.1387988121963615,0.23219400892311445,Li
