c_A,alpha,beta,q_e_per_cell,n_cm2,hw_eff_meV,hw02_meV,split01_meV,d2_A2,chi_eV_A2,lambda,lambda_task,Tc_K,lambda_g1,Tc_K_g1,lambda_g2,Tc_K_g2
6.265481171548117,-0.2661590902890498,0.6284408898515083,0.0057094882822168345,7732840445481.468,0.4600185081157632,12.227669176873466,0.0023206702396347256,0.1976319399358474,6.150271229119531,2.6649672451090196,2324.9123340736132,28.802090835255573,0.6398586355506756,4.012296902426455,10.23773816881081,63.630551957769455
6.285355648535565,-0.2925271536642608,0.621006486516671,0.0061212495267165745,8290523349440.961,0.4090415326095902,13.188656924370058,0.00044439811405783125,0.22226190476380275,6.157455198219889,2.7334205298535585,3314.7002412862867,31.622277699265883,0.6562942692178394,4.6403633121174375,10.50070830748543,69.58113757279496
6.305230125523012,-0.3188952170394717,0.6135720831818339,0.006533010771216315,8848206253400.453,0.3676419886490933,14.014524455779064,7.434404324102584e-05,0.2472904428011038,6.16464687689285,2.785507120446842,4575.989808250759,34.044620722071436,0.6688002596192864,5.185840781988592,10.700804153908582,74.69776127656391
6.325104602510461,-0.34526328041468385,0.6061376798469963,0.0069447720157160735,9405889157359.969,0.33325555371196636,14.764965205255248,1.0883506061654113e-05,0.2728067069030458,6.171846268342458,2.8321283103250625,6158.032439041504,36.27878240681543,0.6799940073090474,5.70518833908058,10.879904116944758,79.40748773553416
6.344979079497908,-0.3716313437898948,0.598703276512159,0.0073565332602158135,9963572061319.459,0.30419985939125377,15.464851681755196,1.3948549260067722e-06,0.2988638796455887,6.179053375746825,2.877310488876711,8115.416733878829,38.410549534818315,0.6908422483792982,6.221929185529374,11.053475974068771,83.88628045433332
6.364853556485356,-0.38452257537376794,0.583543214734805,0.007768294504715554,10521254965278.953,0.28571210874907416,15.812391362994962,3.327057448987425e-07,0.31820265008494236,6.186268202257734,2.960474528212549,9817.830030545245,40.036038210193105,0.7108099342238334,6.8273049591896875,11.372958947581335,87.10171361530765
6.384728033472803,-0.3928582581831049,0.5657716627796991,0.008180055749215294,11078937869238.443,0.27052594781106404,16.044899876848177,9.343587015209209e-08,0.33606517563634025,6.193490751000597,3.0616399745045078,11592.795221865767,41.54351071459676,0.7350997578785324,7.504571349448931,11.761596126056519,89.99916348139661
6.404602510460251,-0.4011939409924419,0.5480001108245933,0.008591816993715034,11636620773197.936,0.25604585240928257,16.27251278564583,2.3905682988711874e-08,0.355070583295325,6.2007210250743405,3.1692130928387043,13704.875952592281,43.098515999307445,0.760928063590573,8.234047772714797,12.174849017449167,92.98992486008139
6.424476987447699,-0.4095296238017792,0.5302285588694867,0.009003578238214793,12194303677157.453,0.24222197236630366,16.495575039466242,5.51481083022054e-09,0.37533486032318375,6.207959027551138,3.2838720033771174,16225.610068904245,44.70592773114046,0.7884576680108459,9.01913292550997,12.615322688173535,96.08446078627412
6.4443514644351465,-0.41786530661111615,0.5124570069143808,0.009415339482714533,12751986581116.945,0.22900918593686984,16.71438566220787,1.144973005295924e-09,0.3969899713558857,6.215204761476436,3.406380441181435,19244.034774606567,46.371032397667236,0.8178719439276624,9.863405089928046,13.085951102842598,99.29402045378662
6.464225941422594,-0.4343517447591395,0.5029782684226,0.009827100727214273,13309669485076.436,0.2157999335679949,17.098893495669813,1.539879335155092e-10,0.42128998217076413,6.22245822986866,3.4793784476726404,23052.287087462402,48.07792208928299,0.8353987652862014,10.529682240003668,13.366380244579222,102.74088591430953
6.4841004184100415,-0.454074512232818,0.496792264688316,0.010238861971714013,13867352389035.928,0.20349360379100487,17.538570378290597,1.534883331544279e-11,0.4467676058196154,6.229719435719122,3.531526835201201,27556.7912621946,49.77731217641471,0.8479195931318079,11.121046737267207,13.566713490108926,106.22703383943124
6.50397489539749,-0.47379727970649727,0.4906062609540317,0.010650623216213772,14425035292995.445,0.19226335864600202,17.965795038037303,0.0,0.4728636324964312,6.236988381991878,3.5848869551920273,32749.46845725881,51.470224245900226,0.8607313579416062,11.726669059762797,13.771701727065699,109.69301140313107
6.523849372384937,-0.49352004718017567,0.4844202572197477,0.011062384460713512,14982718196954.938,0.18197264827647833,18.381642575792263,0.0,0.4996044791697643,6.244265071623563,3.639535194279575,38715.803295179954,53.1597094759625,0.8738524001465253,12.347301272666748,13.981638402344405,113.14553843112894
6.543723849372385,-0.5101547661525732,0.4770475894269313,0.011474145705213252,15540401100914.43,0.17314199127870156,18.72675773052357,0.0,0.5250855063747679,6.25154950752325,3.7047086429115694,45051.79355285066,54.756181748586634,0.8895005451630671,13.001167419579733,14.232008722609073,116.37066205049769
